tick,susceptible,infected,resistant
0,147,3,0
1,146,4,0
2,145,5,0
3,144,6,0
4,144,6,0
5,143,7,0
6,141,8,0
7,140,9,0
8,139,11,0
9,137,12,0
10,136,13,1
11,135,14,1
12,133,16,1
13,132,17,1
14,131,18,1
15,130,19,2
16,128,20,2
17,127,21,2
18,124,23,2
19,123,25,2
20,122,26,3
21,120,27,3
22,119,28,3
23,117,29,4
24,115,31,4
25,114,33,4
26,112,34,4
27,110,35,4
28,109,37,5
29,108,37,5
30,106,38,5
31,105,39,6
32,104,40,6
33,102,42,6
34,101,43,7
35,99,44,7
36,97,46,7
37,95,47,8
38,94,48,8
39,93,48,9
40,91,50,9
41,90,51,9
42,88,52,10
43,87,53,10
44,86,54,10
45,85,55,11
46,83,56,11
47,81,57,12
48,79,59,12
49,78,59,12
50,77,60,13
51,75,62,13
52,74,63,14
53,73,63,14
54,71,64,15
55,70,64,15
56,69,65,16
57,68,66,16
58,66,67,16
59,65,68,17
60,63,70,17
61,62,70,18
62,61,70,19
63,59,72,19
64,58,72,20
65,57,73,20
66,56,74,21
67,55,74,21
68,54,74,22
69,53,75,22
70,52,75,23
71,51,75,23
72,50,76,24
73,49,76,24
74,48,77,25
75,48,76,26
76,47,77,26
77,47,77,27
78,45,78,27
79,44,78,28
80,44,78,29
81,43,78,29
82,42,78,30
83,42,78,31
84,40,78,31
85,39,79,32
86,38,79,33
87,38,79,33
88,37,79,34
89,37,79,34
90,37,78,35
91,36,78,36
92,36,78,36
93,35,78,37
94,35,78,37
95,35,77,38
96,35,77,39
97,35,76,39
98,34,76,40
99,34,76,40
100,33,76,41
101,33,76,42
102,32,76,42
103,32,75,43
104,32,75,43
105,32,75,44
106,31,74,44
107,31,75,45
108,30,74,45
109,30,75,46
110,29,74,46
111,29,74,47
112,29,73,48
113,28,73,49
114,28,73,49
115,28,72,50
116,28,71,51
117,28,71,51
118,28,70,52
119,28,70,52
120,28,69,53
121,28,69,53
122,28,68,54
123,27,68,54
124,27,68,55
125,27,67,55
126,27,67,56
127,27,66,57
128,27,66,57
129,27,66,58
130,27,65,58
131,26,65,59
132,26,65,59
133,26,64,60
134,25,64,60
135,25,64,61
136,25,64,61
137,25,63,62
138,25,63,62
139,25,62,63
140,25,61,63
141,26,60,64
142,25,60,64
143,25,60,65
144,25,60,65
145,25,59,66
146,25,59,66
147,25,59,67
148,24,59,67
149,24,58,67
150,24,58,68
151,24,57,68
152,24,57,69
153,24,57,70
154,24,56,70
155,24,56,70
156,24,56,71
157,23,56,71
158,23,55,72
159,23,54,72
160,23,54,72
161,23,53,73
162,23,53,74
163,23,53,74
164,23,52,74
165,23,52,75
166,24,51,75
167,24,51,75
168,24,50,76
169,24,50,76
170,24,49,77
171,24,49,77
172,24,49,77
173,24,48,78
174,24,48,78
175,24,48,78
176,25,47,78
177,25,46,79
178,25,46,79
179,25,46,80
180,25,45,80
181,25,45,80
182,25,45,81
183,25,44,81
184,25,44,82
185,25,43,82
186,25,43,82
187,25,43,83
188,25,42,83
189,25,42,83
190,25,41,84
191,25,41,84
192,25,41,84
193,25,41,84
194,25,40,85
195,26,40,85
196,26,39,85
197,26,39,85
198,26,39,86
199,25,39,86
200,26,38,86
201,26,37,87
202,26,37,87
203,26,37,87
204,26,36,88
205,26,36,88
206,26,35,88
207,27,35,89
208,27,34,89
209,27,34,89
210,27,34,89
211,27,34,89
212,27,34,90
213,27,33,90
214,27,33,90
215,27,33,90
216,27,33,90
217,27,33,90
218,27,33,90
219,27,33,91
220,26,33,91
221,26,33,91
222,26,32,92
223,26,32,92
224,26,32,92
225,26,32,92
226,26,32,92
227,26,31,93
228,26,31,93
229,26,31,93
230,26,31,93
231,26,30,94
232,26,30,94
233,26,30,94
234,26,30,95
235,26,29,95
236,26,29,95
237,26,28,95
238,27,28,96
239,27,27,96
240,27,27,96
241,27,26,96
242,27,26,96
243,28,26,96
244,28,25,97
245,28,25,97
246,28,25,97
247,28,24,97
248,28,24,98
249,29,23,98
