tick,susceptible,infected,resistant
0,147,3,0
1,145,5,0
2,144,6,0
3,143,7,0
4,142,8,0
5,141,9,0
6,140,10,0
7,138,12,0
8,137,13,0
9,135,15,0
10,134,16,0
11,133,17,0
12,132,18,0
13,129,21,0
14,129,21,0
15,128,22,0
16,126,23,1
17,122,27,1
18,121,28,1
19,119,29,2
20,118,30,2
21,117,31,2
22,114,34,2
23,113,35,2
24,110,37,3
25,108,39,3
26,108,39,3
27,104,43,3
28,104,41,5
29,100,45,5
30,99,45,6
31,97,47,6
32,94,50,6
33,94,49,7
34,93,49,8
35,91,51,8
36,90,51,9
37,87,54,9
38,81,60,9
39,80,59,11
40,76,63,11
41,74,63,13
42,72,65,13
43,72,65,13
44,72,65,13
45,69,68,13
46,68,69,13
47,65,72,13
48,62,75,13
49,60,75,15
50,59,76,15
51,58,77,15
52,55,80,15
53,53,82,15
54,49,86,15
55,46,88,16
56,45,89,16
57,44,90,16
58,38,96,16
59,37,97,16
60,35,99,16
61,31,102,17
62,29,101,20
63,29,101,20
64,27,100,23
65,26,100,24
66,26,100,24
67,20,104,26
68,18,105,27
69,15,107,28
70,13,109,28
71,14,108,28
72,13,109,28
73,11,108,31
74,10,109,31
75,10,108,32
76,10,108,32
77,9,109,32
78,9,109,32
79,9,109,32
80,10,107,33
81,11,106,33
82,8,108,34
83,9,106,35
84,9,105,36
85,9,104,37
86,9,104,37
87,9,102,39
88,9,101,40
89,9,101,40
90,9,100,41
91,8,100,42
92,9,99,42
93,9,98,43
94,8,98,44
95,8,98,44
96,9,96,45
97,9,96,45
98,8,96,46
99,7,96,47
100,6,94,50
101,5,94,51
102,5,94,51
103,5,94,51
104,5,93,52
105,5,93,52
106,6,90,54
107,7,88,55
108,7,86,57
109,7,86,57
110,7,86,57
111,7,85,58
112,7,84,59
113,8,81,61
114,9,80,61
115,8,81,61
116,8,81,61
117,8,80,62
118,8,80,62
119,8,79,63
120,8,78,64
121,8,78,64
122,8,78,64
123,8,77,65
124,7,78,65
125,7,77,66
126,7,77,66
127,7,77,66
128,7,75,68
129,6,76,68
130,6,74,70
131,6,72,72
132,6,72,72
133,6,72,72
134,7,71,72
135,7,71,72
136,7,71,72
137,7,71,72
138,8,70,72
139,8,70,72
140,8,70,72
141,7,71,72
142,7,71,72
143,7,71,72
144,9,68,73
145,8,69,73
146,6,71,73
147,6,71,73
148,6,70,74
149,5,70,75
150,5,69,76
151,5,69,76
152,5,69,76
153,5,69,76
154,5,68,77
155,5,67,78
156,5,66,79
157,6,65,79
158,6,64,80
159,6,63,81
160,6,63,81
161,6,63,81
162,6,63,81
163,6,63,81
164,6,63,81
165,6,63,81
166,6,63,81
167,7,62,81
168,7,61,82
169,7,61,82
170,7,61,82
171,7,60,83
172,7,58,85
173,6,59,85
174,6,58,86
175,6,58,86
176,6,58,86
177,6,56,88
178,7,55,88
179,7,54,89
180,7,53,90
181,9,50,91
182,9,50,91
183,9,50,91
184,9,50,91
185,9,50,91
186,10,49,91
187,10,49,91
188,9,50,91
189,8,49,93
190,8,48,94
191,8,48,94
192,8,47,95
193,7,48,95
194,9,44,97
195,9,44,97
196,9,44,97
197,9,44,97
198,9,43,98
199,9,43,98
200,9,42,99
201,9,42,99
202,9,42,99
203,10,40,100
204,9,41,100
205,10,39,101
206,10,39,101
207,10,39,101
208,10,39,101
209,10,38,102
210,10,38,102
211,10,38,102
212,11,37,102
213,10,38,102
214,10,38,102
215,10,38,102
216,10,38,102
217,10,37,103
218,10,37,103
219,10,36,104
220,9,37,104
221,9,37,104
222,9,36,105
223,9,36,105
224,9,35,106
225,9,35,106
226,9,35,106
227,9,35,106
228,9,34,107
229,9,34,107
230,9,33,108
231,9,32,109
232,9,32,109
233,9,32,109
234,9,32,109
235,9,32,109
236,9,32,109
237,9,31,110
238,9,30,111
239,9,30,111
240,9,30,111
241,9,29,112
242,9,28,113
243,10,27,113
244,10,27,113
245,10,27,113
246,10,27,113
247,10,27,113
248,10,27,113
249,10,27,113
