id_scenario,id_run,period,num_agents,hawk_count,dove_count,hawk_fraction,mean_fitness
0,0,0,200,200,0,1.0,-9.0
0,0,1,200,200,0,1.0,-9.0
0,0,2,200,200,0,1.0,-9.0
0,0,3,200,200,0,1.0,-9.0
0,0,4,200,200,0,1.0,-9.0
0,0,5,200,200,0,1.0,-9.0
0,0,6,200,200,0,1.0,-9.0
0,0,7,200,198,2,0.99,-8.645
0,0,8,200,115,85,0.575,4.645
0,0,9,200,107,93,0.535,5.23
0,0,10,200,108,92,0.54,5.195
0,0,11,200,100,100,0.5,5.835
0,0,12,200,99,101,0.495,6.345
0,0,13,200,104,96,0.52,5.435
0,0,14,200,94,106,0.47,7.235
0,0,15,200,101,99,0.505,6.09
0,0,16,200,102,98,0.51,5.51
0,0,17,200,104,96,0.52,5.59
0,0,18,200,110,90,0.55,4.49
0,0,19,200,90,110,0.45,6.595
0,0,20,200,97,103,0.485,6.645
0,0,21,200,110,90,0.55,5.01
0,0,22,200,102,98,0.51,5.795
0,0,23,200,108,92,0.54,5.21
0,0,24,200,104,96,0.52,5.595
0,0,25,200,115,85,0.575,3.85
0,0,26,200,98,102,0.49,6.135
0,0,27,200,102,98,0.51,5.53
0,0,28,200,104,96,0.52,5.525
0,0,29,200,110,90,0.55,4.32
0,0,30,200,102,98,0.51,5.705
0,0,31,200,109,91,0.545,5.635
0,0,32,200,115,85,0.575,4.51
0,0,33,200,95,105,0.475,6.57
0,0,34,200,101,99,0.505,5.765
0,0,35,200,107,93,0.535,5.64
0,0,36,200,101,99,0.505,5.695
0,0,37,200,99,101,0.495,6.07
0,0,38,200,86,114,0.43,7.075
0,0,39,200,90,110,0.45,7.075
0,0,40,200,91,109,0.455,6.735
0,0,41,200,95,105,0.475,6.62
0,0,42,200,90,110,0.45,7.235
0,0,43,200,86,114,0.43,7.245
0,0,44,200,87,113,0.435,7.115
0,0,45,200,108,92,0.54,5.03
0,0,46,200,110,90,0.55,4.665
0,0,47,200,118,82,0.59,4.315
0,0,48,200,107,93,0.535,5.155
0,0,49,200,95,105,0.475,7.265
0,0,50,200,120,80,0.6,3.56
0,0,51,200,105,95,0.525,6.065
0,0,52,200,119,81,0.595,4.07
0,0,53,200,115,85,0.575,4.83
0,0,54,200,111,89,0.555,4.845
0,0,55,200,107,93,0.535,5.305
0,0,56,200,120,80,0.6,3.77
0,0,57,200,123,77,0.615,3.44
0,0,58,200,105,95,0.525,5.835
0,0,59,200,109,91,0.545,4.885
0,0,60,200,132,68,0.66,2.885
0,0,61,200,119,81,0.595,3.635
0,0,62,200,93,107,0.465,6.905
0,0,63,200,103,97,0.515,5.45
0,0,64,200,95,105,0.475,6.66
0,0,65,200,87,113,0.435,7.295
0,0,66,200,99,101,0.495,5.495
0,0,67,200,94,106,0.47,6.25
0,0,68,200,96,104,0.48,6.89
0,0,69,200,115,85,0.575,4.475
0,0,70,200,103,97,0.515,6.2
0,0,71,200,109,91,0.545,4.865
0,0,72,200,108,92,0.54,5.1
0,0,73,200,108,92,0.54,5.2
0,0,74,200,101,99,0.505,5.815
0,0,75,200,98,102,0.49,6.39
0,0,76,200,101,99,0.505,5.91
0,0,77,200,121,79,0.605,3.225
0,0,78,200,114,86,0.57,4.64
0,0,79,200,109,91,0.545,5.01
0,0,80,200,99,101,0.495,6.055
0,0,81,200,106,94,0.53,5.8
0,0,82,200,115,85,0.575,4.58
0,0,83,200,95,105,0.475,6.745
0,0,84,200,98,102,0.49,5.99
0,0,85,200,106,94,0.53,5.055
0,0,86,200,110,90,0.55,4.78
0,0,87,200,95,105,0.475,6.29
0,0,88,200,105,95,0.525,5.9
0,0,89,200,97,103,0.485,6.65
0,0,90,200,104,96,0.52,5.78
0,0,91,200,97,103,0.485,6.21
0,0,92,200,81,119,0.405,7.835
0,0,93,200,98,102,0.49,6.45
0,0,94,200,118,82,0.59,3.81
0,0,95,200,131,69,0.655,2.55
0,0,96,200,134,66,0.67,1.995
0,0,97,200,118,82,0.59,3.83
0,0,98,200,112,88,0.56,4.9
0,0,99,200,121,79,0.605,4.075
0,0,100,200,122,78,0.61,3.19
0,0,101,200,117,83,0.585,4.065
0,0,102,200,114,86,0.57,4.54
0,0,103,200,113,87,0.565,4.62
0,0,104,200,92,108,0.46,6.79
0,0,105,200,84,116,0.42,7.35
0,0,106,200,88,112,0.44,6.885
0,0,107,200,95,105,0.475,6.165
0,0,108,200,88,112,0.44,7.05
0,0,109,200,92,108,0.46,7.08
0,0,110,200,109,91,0.545,5.32
0,0,111,200,104,96,0.52,5.57
0,0,112,200,104,96,0.52,5.545
0,0,113,200,104,96,0.52,5.465
0,0,114,200,98,102,0.49,6.3
0,0,115,200,108,92,0.54,5.03
0,0,116,200,128,72,0.64,3.12
0,0,117,200,117,83,0.585,4.02
0,0,118,200,114,86,0.57,4.68
0,0,119,200,119,81,0.595,4.085
0,0,120,200,105,95,0.525,5.515
0,0,121,200,104,96,0.52,5.25
0,0,122,200,99,101,0.495,6.16
0,0,123,200,104,96,0.52,5.415
0,0,124,200,98,102,0.49,6.41
0,0,125,200,110,90,0.55,5.04
0,0,126,200,110,90,0.55,5.105
0,0,127,200,98,102,0.49,5.92
0,0,128,200,90,110,0.45,6.795
0,0,129,200,101,99,0.505,6.33
0,0,130,200,108,92,0.54,5.47
0,0,131,200,102,98,0.51,6.14
0,0,132,200,107,93,0.535,5.545
0,0,133,200,121,79,0.605,3.715
0,0,134,200,110,90,0.55,4.86
0,0,135,200,106,94,0.53,5.405
0,0,136,200,121,79,0.605,3.855
0,0,137,200,112,88,0.56,4.56
0,0,138,200,113,87,0.565,4.705
0,0,139,200,130,70,0.65,2.375
0,0,140,200,106,94,0.53,5.16
0,0,141,200,113,87,0.565,4.685
0,0,142,200,110,90,0.55,4.865
0,0,143,200,104,96,0.52,5.825
0,0,144,200,111,89,0.555,5.19
0,0,145,200,101,99,0.505,6.0
0,0,146,200,113,87,0.565,4.38
0,0,147,200,120,80,0.6,3.82
0,0,148,200,121,79,0.605,3.89
0,0,149,200,124,76,0.62,3.43
0,0,150,200,128,72,0.64,2.9
0,0,151,200,123,77,0.615,3.42
0,0,152,200,117,83,0.585,4.105
0,0,153,200,112,88,0.56,4.65
0,0,154,200,117,83,0.585,4.085
0,0,155,200,107,93,0.535,5.52
0,0,156,200,96,104,0.48,6.745
0,0,157,200,116,84,0.58,3.965
0,0,158,200,115,85,0.575,4.155
0,0,159,200,99,101,0.495,6.13
0,0,160,200,89,111,0.445,7.045
0,0,161,200,91,109,0.455,7.35
0,0,162,200,96,104,0.48,6.53
0,0,163,200,113,87,0.565,4.85
0,0,164,200,102,98,0.51,5.725
0,0,165,200,102,98,0.51,5.87
0,0,166,200,101,99,0.505,6.315
0,0,167,200,91,109,0.455,6.41
0,0,168,200,95,105,0.475,6.41
0,0,169,200,109,91,0.545,5.195
0,0,170,200,122,78,0.61,3.45
0,0,171,200,112,88,0.56,4.69
0,0,172,200,100,100,0.5,6.065
0,0,173,200,111,89,0.555,5.245
0,0,174,200,107,93,0.535,4.995
0,0,175,200,106,94,0.53,5.025
0,0,176,200,104,96,0.52,5.51
0,0,177,200,99,101,0.495,5.86
0,0,178,200,110,90,0.55,4.83
