label,p_semantic,p_social,p_generalize,lr,rep,repertoire_size,max_level
random,0.0,0.0,0.0,0.05,0,11,5
random,0.0,0.0,0.0,0.05,1,12,6
random,0.0,0.0,0.0,0.05,2,14,6
random,0.0,0.0,0.0,0.05,3,10,4
random,0.0,0.0,0.0,0.05,4,10,4
random,0.0,0.0,0.0,0.05,5,10,4
random,0.0,0.0,0.0,0.05,6,12,5
random,0.0,0.0,0.0,0.05,7,14,7
random,0.0,0.0,0.0,0.05,8,11,5
random,0.0,0.0,0.0,0.05,9,12,6
random,0.0,0.0,0.0,0.05,10,12,5
random,0.0,0.0,0.0,0.05,11,13,6
random,0.0,0.0,0.0,0.05,12,12,5
random,0.0,0.0,0.0,0.05,13,12,5
random,0.0,0.0,0.0,0.05,14,12,5
random,0.0,0.0,0.0,0.05,15,12,5
social,0.0,0.9,0.0,0.05,0,30,8
social,0.0,0.9,0.0,0.05,1,31,8
social,0.0,0.9,0.0,0.05,2,30,8
social,0.0,0.9,0.0,0.05,3,37,9
social,0.0,0.9,0.0,0.05,4,31,8
social,0.0,0.9,0.0,0.05,5,30,8
social,0.0,0.9,0.0,0.05,6,28,9
social,0.0,0.9,0.0,0.05,7,19,8
social,0.0,0.9,0.0,0.05,8,34,10
social,0.0,0.9,0.0,0.05,9,31,8
social,0.0,0.9,0.0,0.05,10,36,9
social,0.0,0.9,0.0,0.05,11,31,8
social,0.0,0.9,0.0,0.05,12,31,8
social,0.0,0.9,0.0,0.05,13,30,8
social,0.0,0.9,0.0,0.05,14,31,8
social,0.0,0.9,0.0,0.05,15,40,9
sem_g9_lo,0.9,0.0,0.9,0.02,0,9,4
sem_g9_lo,0.9,0.0,0.9,0.02,1,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,2,10,4
sem_g9_lo,0.9,0.0,0.9,0.02,3,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,4,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,5,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,6,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,7,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,8,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,9,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,10,9,4
sem_g9_lo,0.9,0.0,0.9,0.02,11,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,12,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,13,8,3
sem_g9_lo,0.9,0.0,0.9,0.02,14,9,4
sem_g9_lo,0.9,0.0,0.9,0.02,15,9,4
sem_g9_hi,0.9,0.0,0.9,0.08,0,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,1,9,4
sem_g9_hi,0.9,0.0,0.9,0.08,2,10,4
sem_g9_hi,0.9,0.0,0.9,0.08,3,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,4,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,5,10,4
sem_g9_hi,0.9,0.0,0.9,0.08,6,11,5
sem_g9_hi,0.9,0.0,0.9,0.08,7,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,8,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,9,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,10,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,11,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,12,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,13,8,3
sem_g9_hi,0.9,0.0,0.9,0.08,14,9,4
sem_g9_hi,0.9,0.0,0.9,0.08,15,9,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,0,9,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,1,32,8
semsoc_g9_lo,0.9,0.9,0.9,0.02,2,9,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,3,31,8
semsoc_g9_lo,0.9,0.9,0.9,0.02,4,31,8
semsoc_g9_lo,0.9,0.9,0.9,0.02,5,10,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,6,10,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,7,11,5
semsoc_g9_lo,0.9,0.9,0.9,0.02,8,10,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,9,30,8
semsoc_g9_lo,0.9,0.9,0.9,0.02,10,9,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,11,28,8
semsoc_g9_lo,0.9,0.9,0.9,0.02,12,9,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,13,9,4
semsoc_g9_lo,0.9,0.9,0.9,0.02,14,31,8
semsoc_g9_lo,0.9,0.9,0.9,0.02,15,9,4
semsoc_g9_hi,0.9,0.9,0.9,0.08,0,10,5
semsoc_g9_hi,0.9,0.9,0.9,0.08,1,9,4
semsoc_g9_hi,0.9,0.9,0.9,0.08,2,9,4
semsoc_g9_hi,0.9,0.9,0.9,0.08,3,30,8
semsoc_g9_hi,0.9,0.9,0.9,0.08,4,10,5
semsoc_g9_hi,0.9,0.9,0.9,0.08,5,9,4
semsoc_g9_hi,0.9,0.9,0.9,0.08,6,11,5
semsoc_g9_hi,0.9,0.9,0.9,0.08,7,10,5
semsoc_g9_hi,0.9,0.9,0.9,0.08,8,10,4
semsoc_g9_hi,0.9,0.9,0.9,0.08,9,31,8
semsoc_g9_hi,0.9,0.9,0.9,0.08,10,31,8
semsoc_g9_hi,0.9,0.9,0.9,0.08,11,9,4
semsoc_g9_hi,0.9,0.9,0.9,0.08,12,10,4
semsoc_g9_hi,0.9,0.9,0.9,0.08,13,9,4
semsoc_g9_hi,0.9,0.9,0.9,0.08,14,31,8
semsoc_g9_hi,0.9,0.9,0.9,0.08,15,9,4
